u,v,pen
0.05311,0.03682,1
0.05184,0.03569,1
0.04996,0.03504,1
0.04832,0.03572,1
0.04695,0.03718,1
0.04549,0.03856,1
0.04387,0.03975,1
0.04226,0.04094,1
0.04182,0.04221,1
0.04328,0.04360,1
0.04473,0.04499,1
0.04624,0.04630,1
0.04789,0.04745,1
0.04954,0.04860,1
0.05131,0.04936,1
0.05124,0.04765,1
0.05027,0.04589,1
0.05135,0.04612,1
0.05307,0.04714,1
0.05464,0.04840,1
0.05621,0.04966,1
0.05778,0.05091,1
0.05935,0.05217,1
0.06091,0.05343,1
0.06248,0.05469,1
0.06405,0.05594,1
0.06562,0.05720,1
0.06707,0.05720,1
0.06651,0.05527,1
0.06595,0.05334,1
0.06511,0.05153,1
0.06414,0.04977,1
0.06297,0.04815,1
0.06155,0.04673,1
0.06103,0.04615,1
0.06255,0.04747,1
0.06371,0.04909,1
0.06474,0.05081,1
0.06568,0.05258,1
0.06624,0.05451,1
0.06681,0.05644,1
0.06630,0.05775,1
0.06630,0.05775,0
0.03490,-0.03187,0
0.03490,-0.03187,1
0.03481,-0.03387,1
0.03602,-0.03547,1
0.03650,-0.03716,1
0.03552,-0.03890,1
0.03434,-0.04052,1
0.03317,-0.04214,1
0.03199,-0.04376,1
0.03081,-0.04539,1
0.02964,-0.04701,1
0.02846,-0.04863,1
0.02728,-0.05026,1
0.02610,-0.05152,1
0.02486,-0.04994,1
0.02362,-0.04837,1
0.02238,-0.04679,1
0.02045,-0.04654,1
0.01931,-0.04714,1
0.01851,-0.04897,1
0.01867,-0.05094,1
0.01896,-0.05292,1
0.01925,-0.05491,1
0.01954,-0.05689,1
0.01950,-0.05662,1
0.01921,-0.05463,1
0.01892,-0.05265,1
0.01863,-0.05067,1
0.01864,-0.04873,1
0.01954,-0.04694,1
0.02110,-0.04654,1
0.02277,-0.04742,1
0.02402,-0.04899,1
0.02526,-0.05057,1
0.02650,-0.05145,1
0.02769,-0.04985,1
0.02889,-0.04824,1
0.03009,-0.04663,1
0.03129,-0.04502,1
0.03248,-0.04342,1
0.03368,-0.04181,1
0.03472,-0.04009,1
0.03573,-0.03836,1
0.03674,-0.03663,1
0.03715,-0.03846,1
0.03754,-0.04043,1
0.03793,-0.04239,1
0.03832,-0.04436,1
0.03840,-0.04475,1
0.03802,-0.04278,1
0.03765,-0.04081,1
0.03727,-0.03884,1
0.03689,-0.03687,1
0.03781,-0.03716,1
0.03931,-0.03849,1
0.04081,-0.03981,1
0.04232,-0.04114,1
0.04382,-0.04247,1
0.04519,-0.04391,1
0.04638,-0.04552,1
0.04757,-0.04714,1
0.04876,-0.04875,1
0.04954,-0.04695,1
0.05031,-0.04510,1
0.05108,-0.04325,1
0.05244,-0.04345,1
0.05249,-0.04545,1
0.05249,-0.04745,1
0.05190,-0.04937,1
0.05126,-0.05126,1
0.05013,-0.05292,1
0.04901,-0.05458,1
0.04758,-0.05598,1
0.04614,-0.05737,1
0.04673,-0.05665,1
0.04806,-0.05516,1
0.04940,-0.05367,1
0.05074,-0.05217,1
0.05147,-0.05035,1
0.05201,-0.04842,1
0.05254,-0.04649,1
0.05263,-0.04784,1
0.05222,-0.04976,1
0.05151,-0.05164,1
0.05028,-0.05322,1
0.04904,-0.05479,1
0.04779,-0.05636,1
0.04854,-0.05551,1
0.04984,-0.05398,1
0.05111,-0.05243,1
0.05189,-0.05059,1
0.05257,-0.04872,1
0.05279,-0.04672,1
0.05411,-0.04538,1
0.05576,-0.04424,1
0.05740,-0.04309,1
0.05891,-0.04180,1
0.06006,-0.04020,1
0.06049,-0.03830,1
0.05896,-0.03750,1
0.05861,-0.03948,1
0.05827,-0.04145,1
0.05738,-0.04308,1
0.05573,-0.04421,1
0.05407,-0.04533,1
0.05278,-0.04565,1
0.05253,-0.04366,1
0.05126,-0.04292,1
0.05047,-0.04471,1
0.04974,-0.04658,1
0.04901,-0.04845,1
0.04789,-0.04745,1
0.04670,-0.04584,1
0.04551,-0.04422,1
0.04423,-0.04269,1
0.04276,-0.04133,1
0.04129,-0.03996,1
0.03982,-0.03860,1
0.03835,-0.03723,1
0.03750,-0.03573,1
0.03824,-0.03386,1
0.03824,-0.03358,1
0.03728,-0.03534,1
0.03618,-0.03550,1
0.03494,-0.03393,1
0.03490,-0.03198,1
0.03490,-0.03198,0
0.05149,-0.00548,0
0.05149,-0.00548,1
0.05070,-0.00733,1
0.04991,-0.00919,1
0.04912,-0.01104,1
0.04778,-0.01128,1
0.04602,-0.01030,1
0.04413,-0.00969,1
0.04214,-0.00938,1
0.04269,-0.01054,1
0.04466,-0.01097,1
0.04634,-0.01206,1
0.04800,-0.01320,1
0.04720,-0.01488,1
0.04615,-0.01660,1
0.04511,-0.01833,1
0.04407,-0.02005,1
0.04302,-0.02178,1
0.04232,-0.02090,1
0.04176,-0.01896,1
0.04120,-0.01703,1
0.04064,-0.01509,1
0.03949,-0.01465,1
0.03953,-0.01666,1
0.03956,-0.01868,1
0.03974,-0.02065,1
0.04073,-0.02241,1
0.04182,-0.02409,1
0.04350,-0.02479,1
0.04308,-0.02305,1
0.04417,-0.02135,1
0.04526,-0.01966,1
0.04635,-0.01796,1
0.04744,-0.01627,1
0.04854,-0.01458,1
0.04977,-0.01445,1
0.05115,-0.01592,1
